trait_order,cell_type_order,trait,trait_label,cell_type,cell_type_label,cell_type_total_cells,cell_type_proportion,cell_type_proportion_displayed,passes_display_threshold,association_star_displayed,display_threshold,display_inclusion_rule
7,5,UKB_460K.mental_NEUROTICISM,Neuroticism,L5 IT,L5 IT,869,0.0713463751438435,0.0713463751438435,True,True,0.01,> 0.01
7,6,UKB_460K.mental_NEUROTICISM,Neuroticism,L6 IT,L6 IT,305,0.05245901639344262,0.05245901639344262,True,True,0.01,> 0.01
7,7,UKB_460K.mental_NEUROTICISM,Neuroticism,L6 IT Car3,L6 IT Car3,189,0.15873015873015872,0.15873015873015872,True,True,0.01,> 0.01
7,8,UKB_460K.mental_NEUROTICISM,Neuroticism,L6b,L6b,117,0.06837606837606838,0.06837606837606838,True,True,0.01,> 0.01
7,9,UKB_460K.mental_NEUROTICISM,Neuroticism,Chandelier,Chandelier,58,0.05172413793103448,0.05172413793103448,True,True,0.01,> 0.01
7,10,UKB_460K.mental_NEUROTICISM,Neuroticism,Lamp5,Lamp5,241,0.2033195020746888,0.2033195020746888,True,True,0.01,> 0.01
7,11,UKB_460K.mental_NEUROTICISM,Neuroticism,Lamp5 Lhx6,Lamp5 Lhx6,110,0.15454545454545454,0.15454545454545454,True,True,0.01,> 0.01
7,12,UKB_460K.mental_NEUROTICISM,Neuroticism,Pvalb,Pvalb,676,0.08727810650887574,0.08727810650887574,True,True,0.01,> 0.01
7,13,UKB_460K.mental_NEUROTICISM,Neuroticism,Sncg,Sncg,135,0.08888888888888889,0.08888888888888889,True,True,0.01,> 0.01
7,14,UKB_460K.mental_NEUROTICISM,Neuroticism,Sst,Sst,739,0.21380243572395127,0.21380243572395127,True,True,0.01,> 0.01
7,15,UKB_460K.mental_NEUROTICISM,Neuroticism,Sst Chodl,Sst Chodl,6,0.5,0.5,True,True,0.01,> 0.01
7,16,UKB_460K.mental_NEUROTICISM,Neuroticism,Vip,Vip,623,0.1187800963081862,0.1187800963081862,True,True,0.01,> 0.01
