trait_order,cell_type_order,trait,trait_label,cell_type,cell_type_label,cell_type_total_cells,cell_type_proportion,cell_type_proportion_displayed,association_star_displayed
8,5,UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED,Allergic Eczema (ECZ),TN IFN 16h,TN IFN 16h,25,0.04,0.04,True
8,6,UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED,Allergic Eczema (ECZ),TN NFKB,TN NFKB,106,0.018867924528301886,0.018867924528301886,True
8,7,UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED,Allergic Eczema (ECZ),nTreg 16h,nTreg 16h,79,0.012658227848101266,0.012658227848101266,True
8,8,UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED,Allergic Eczema (ECZ),nTreg 40h,nTreg 40h,79,0.0,0.0,True
9,1,UKB_460K.disease_RESPIRATORY_ENT,Respiratory / ENT Disease (RESP-ENT),HSP 16h,HSP 16h,25,0.04,0.04,False
9,2,UKB_460K.disease_RESPIRATORY_ENT,Respiratory / ENT Disease (RESP-ENT),TCM 16h,TCM 16h,591,0.018612521150592216,0.018612521150592216,False
9,3,UKB_460K.disease_RESPIRATORY_ENT,Respiratory / ENT Disease (RESP-ENT),TEM 16h,TEM 16h,283,0.045936395759717315,0.045936395759717315,True
9,4,UKB_460K.disease_RESPIRATORY_ENT,Respiratory / ENT Disease (RESP-ENT),TN 16h,TN 16h,803,0.0,0.0,False
9,5,UKB_460K.disease_RESPIRATORY_ENT,Respiratory / ENT Disease (RESP-ENT),TN IFN 16h,TN IFN 16h,25,0.0,0.0,False
9,6,UKB_460K.disease_RESPIRATORY_ENT,Respiratory / ENT Disease (RESP-ENT),TN NFKB,TN NFKB,106,0.018867924528301886,0.018867924528301886,False
9,7,UKB_460K.disease_RESPIRATORY_ENT,Respiratory / ENT Disease (RESP-ENT),nTreg 16h,nTreg 16h,79,0.012658227848101266,0.012658227848101266,False
9,8,UKB_460K.disease_RESPIRATORY_ENT,Respiratory / ENT Disease (RESP-ENT),nTreg 40h,nTreg 40h,79,0.0,0.0,False
10,1,UKB_460K.disease_HYPOTHYROIDISM_SELF_REP,Hypothyroidism (HYPO),HSP 16h,HSP 16h,25,0.0,0.0,False
10,2,UKB_460K.disease_HYPOTHYROIDISM_SELF_REP,Hypothyroidism (HYPO),TCM 16h,TCM 16h,591,0.0,0.0,False
10,3,UKB_460K.disease_HYPOTHYROIDISM_SELF_REP,Hypothyroidism (HYPO),TEM 16h,TEM 16h,283,0.0,0.0,False
10,4,UKB_460K.disease_HYPOTHYROIDISM_SELF_REP,Hypothyroidism (HYPO),TN 16h,TN 16h,803,0.0,0.0,False
10,5,UKB_460K.disease_HYPOTHYROIDISM_SELF_REP,Hypothyroidism (HYPO),TN IFN 16h,TN IFN 16h,25,0.0,0.0,False
10,6,UKB_460K.disease_HYPOTHYROIDISM_SELF_REP,Hypothyroidism (HYPO),TN NFKB,TN NFKB,106,0.0,0.0,False
10,7,UKB_460K.disease_HYPOTHYROIDISM_SELF_REP,Hypothyroidism (HYPO),nTreg 16h,nTreg 16h,79,0.0,0.0,False
10,8,UKB_460K.disease_HYPOTHYROIDISM_SELF_REP,Hypothyroidism (HYPO),nTreg 40h,nTreg 40h,79,0.0,0.0,False
